years,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2055,1.9%,3.8%,1.2%,#DIV/0!,3.8%,2.1%,1.3%,2.1%,1.2%,1.2%,1.3%,3.8%,1.2%,3.8%,3.8%,1.9%,1.2%,3.8%,2.1%,1.2%,1.3%,2.1%,2.1%,2.1%,2.1%,2.1%,1.9%,1.9%,3.8%,3.8%,1.2%,1.2%,2.1%,1.9%,3.8%,3.8%,3.8%,3.8%,2.1%,3.8%,3.8%,2.1%,#DIV/0!,1.2%,1.2%,1.2%,3.8%,2.1%,1.2%,2.1%,3.8%,2.1%,3.8%,3.8%,#DIV/0!,1.2%,1.2%,3.8%,1.2%,1.9%,1.2%,1.9%,3.8%,1.2%,1.3%,3.8%,3.8%,#DIV/0!,3.8%,3.8%,3.8%,1.2%,2.1%,2.1%,#DIV/0!,2.1%,1.9%,2.1%,1.2%,2.1%,1.2%,1.9%,1.9%,1.2%,3.8%,3.8%,1.2%,1.2%,1.2%,2.1%,3.8%,1.9%,1.3%,3.8%,1.3%,1.9%,2.1%,1.9%,3.8%,1.9%,3.8%,3.8%,3.8%,#DIV/0!,1.9%,3.8%,1.2%,1.2%,1.2%,3.8%,1.3%,3.8%,2.1%,1.2%,3.8%,1.9%,1.2%,1.9%,3.8%,3.8%,#DIV/0!,3.8%,3.8%,1.9%,3.8%,#DIV/0!,3.8%,3.8%,2.1%,1.2%,1.2%,1.9%,1.9%,1.2%,3.8%,1.9%,2.1%,2.1%,1.9%,1.9%,1.9%,1.2%,2.1%,#DIV/0!,1.2%,2.1%,3.8%,3.8%,#DIV/0!,1.2%,1.3%,3.8%,3.8%,3.8%,3.8%,1.9%,3.8%,2.1%,1.2%,#DIV/0!,1.2%,3.8%,3.8%,2.1%,1.2%,1.2%,1.2%,#DIV/0!,3.8%,3.8%,1.9%,1.3%,1.3%,1.9%,1.9%,2.1%,3.8%,1.2%,1.9%,#DIV/0!,3.8%,3.8%,1.3%,2.1%,1.2%,1.3%,2.1%,1.9%,1.9%,1.9%,3.8%,3.8%,3.8%,3.8%
2056,1.9%,3.7%,1.2%,#DIV/0!,3.7%,2.1%,1.3%,2.1%,1.2%,1.2%,1.3%,3.7%,1.2%,3.7%,3.7%,1.9%,1.2%,3.7%,2.1%,1.2%,1.3%,2.1%,2.1%,2.1%,2.1%,2.1%,1.9%,1.9%,3.7%,3.7%,1.2%,1.2%,2.1%,1.9%,3.7%,3.7%,3.7%,3.7%,2.1%,3.7%,3.7%,2.1%,#DIV/0!,1.2%,1.2%,1.2%,3.7%,2.1%,1.2%,2.1%,3.7%,2.1%,3.7%,3.7%,#DIV/0!,1.2%,1.2%,3.7%,1.2%,1.9%,1.2%,1.9%,3.7%,1.2%,1.3%,3.7%,3.7%,#DIV/0!,3.7%,3.7%,3.7%,1.2%,2.1%,2.1%,#DIV/0!,2.1%,1.9%,2.1%,1.2%,2.1%,1.2%,1.9%,1.9%,1.2%,3.7%,3.7%,1.2%,1.2%,1.2%,2.1%,3.7%,1.9%,1.3%,3.7%,1.3%,1.9%,2.1%,1.9%,3.7%,1.9%,3.7%,3.7%,3.7%,#DIV/0!,1.9%,3.7%,1.2%,1.2%,1.2%,3.7%,1.3%,3.7%,2.1%,1.2%,3.7%,1.9%,1.2%,1.9%,3.7%,3.7%,#DIV/0!,3.7%,3.7%,1.9%,3.7%,#DIV/0!,3.7%,3.7%,2.1%,1.2%,1.2%,1.9%,1.9%,1.2%,3.7%,1.9%,2.1%,2.1%,1.9%,1.9%,1.9%,1.2%,2.1%,#DIV/0!,1.2%,2.1%,3.7%,3.7%,#DIV/0!,1.2%,1.3%,3.7%,3.7%,3.7%,3.7%,1.9%,3.7%,2.1%,1.2%,#DIV/0!,1.2%,3.7%,3.7%,2.1%,1.2%,1.2%,1.2%,#DIV/0!,3.7%,3.7%,1.9%,1.3%,1.3%,1.9%,1.9%,2.1%,3.7%,1.2%,1.9%,#DIV/0!,3.7%,3.7%,1.3%,2.1%,1.2%,1.3%,2.1%,1.9%,1.9%,1.9%,3.7%,3.7%,3.7%,3.7%
2057,1.8%,3.6%,1.2%,#DIV/0!,3.6%,2.0%,1.3%,2.0%,1.2%,1.2%,1.3%,3.6%,1.2%,3.6%,3.6%,1.8%,1.2%,3.6%,2.0%,1.2%,1.3%,2.0%,2.0%,2.0%,2.0%,2.0%,1.8%,1.8%,3.6%,3.6%,1.2%,1.2%,2.0%,1.8%,3.6%,3.6%,3.6%,3.6%,2.0%,3.6%,3.6%,2.0%,#DIV/0!,1.2%,1.2%,1.2%,3.6%,2.0%,1.2%,2.0%,3.6%,2.0%,3.6%,3.6%,#DIV/0!,1.2%,1.2%,3.6%,1.2%,1.8%,1.2%,1.8%,3.6%,1.2%,1.3%,3.6%,3.6%,#DIV/0!,3.6%,3.6%,3.6%,1.2%,2.0%,2.0%,#DIV/0!,2.0%,1.8%,2.0%,1.2%,2.0%,1.2%,1.8%,1.8%,1.2%,3.6%,3.6%,1.2%,1.2%,1.2%,2.0%,3.6%,1.8%,1.3%,3.6%,1.3%,1.8%,2.0%,1.8%,3.6%,1.8%,3.6%,3.6%,3.6%,#DIV/0!,1.8%,3.6%,1.2%,1.2%,1.2%,3.6%,1.3%,3.6%,2.0%,1.2%,3.6%,1.8%,1.2%,1.8%,3.6%,3.6%,#DIV/0!,3.6%,3.6%,1.8%,3.6%,#DIV/0!,3.6%,3.6%,2.0%,1.2%,1.2%,1.8%,1.8%,1.2%,3.6%,1.8%,2.0%,2.0%,1.8%,1.8%,1.8%,1.2%,2.0%,#DIV/0!,1.2%,2.0%,3.6%,3.6%,#DIV/0!,1.2%,1.3%,3.6%,3.6%,3.6%,3.6%,1.8%,3.6%,2.0%,1.2%,#DIV/0!,1.2%,3.6%,3.6%,2.0%,1.2%,1.2%,1.2%,#DIV/0!,3.6%,3.6%,1.8%,1.3%,1.3%,1.8%,1.8%,2.0%,3.6%,1.2%,1.8%,#DIV/0!,3.6%,3.6%,1.3%,2.0%,1.2%,1.3%,2.0%,1.8%,1.8%,1.8%,3.6%,3.6%,3.6%,3.6%
2058,1.8%,3.5%,1.2%,#DIV/0!,3.5%,2.0%,1.3%,2.0%,1.2%,1.2%,1.3%,3.5%,1.2%,3.5%,3.5%,1.8%,1.2%,3.5%,2.0%,1.2%,1.3%,2.0%,2.0%,2.0%,2.0%,2.0%,1.8%,1.8%,3.5%,3.5%,1.2%,1.2%,2.0%,1.8%,3.5%,3.5%,3.5%,3.5%,2.0%,3.5%,3.5%,2.0%,#DIV/0!,1.2%,1.2%,1.2%,3.5%,2.0%,1.2%,2.0%,3.5%,2.0%,3.5%,3.5%,#DIV/0!,1.2%,1.2%,3.5%,1.2%,1.8%,1.2%,1.8%,3.5%,1.2%,1.3%,3.5%,3.5%,#DIV/0!,3.5%,3.5%,3.5%,1.2%,2.0%,2.0%,#DIV/0!,2.0%,1.8%,2.0%,1.2%,2.0%,1.2%,1.8%,1.8%,1.2%,3.5%,3.5%,1.2%,1.2%,1.2%,2.0%,3.5%,1.8%,1.3%,3.5%,1.3%,1.8%,2.0%,1.8%,3.5%,1.8%,3.5%,3.5%,3.5%,#DIV/0!,1.8%,3.5%,1.2%,1.2%,1.2%,3.5%,1.3%,3.5%,2.0%,1.2%,3.5%,1.8%,1.2%,1.8%,3.5%,3.5%,#DIV/0!,3.5%,3.5%,1.8%,3.5%,#DIV/0!,3.5%,3.5%,2.0%,1.2%,1.2%,1.8%,1.8%,1.2%,3.5%,1.8%,2.0%,2.0%,1.8%,1.8%,1.8%,1.2%,2.0%,#DIV/0!,1.2%,2.0%,3.5%,3.5%,#DIV/0!,1.2%,1.3%,3.5%,3.5%,3.5%,3.5%,1.8%,3.5%,2.0%,1.2%,#DIV/0!,1.2%,3.5%,3.5%,2.0%,1.2%,1.2%,1.2%,#DIV/0!,3.5%,3.5%,1.8%,1.3%,1.3%,1.8%,1.8%,2.0%,3.5%,1.2%,1.8%,#DIV/0!,3.5%,3.5%,1.3%,2.0%,1.2%,1.3%,2.0%,1.8%,1.8%,1.8%,3.5%,3.5%,3.5%,3.5%
2059,1.8%,3.4%,1.2%,#DIV/0!,3.4%,2.0%,1.3%,2.0%,1.2%,1.2%,1.3%,3.4%,1.2%,3.4%,3.4%,1.8%,1.2%,3.4%,2.0%,1.2%,1.3%,2.0%,2.0%,2.0%,2.0%,2.0%,1.8%,1.8%,3.4%,3.4%,1.2%,1.2%,2.0%,1.8%,3.4%,3.4%,3.4%,3.4%,2.0%,3.4%,3.4%,2.0%,#DIV/0!,1.2%,1.2%,1.2%,3.4%,2.0%,1.2%,2.0%,3.4%,2.0%,3.4%,3.4%,#DIV/0!,1.2%,1.2%,3.4%,1.2%,1.8%,1.2%,1.8%,3.4%,1.2%,1.3%,3.4%,3.4%,#DIV/0!,3.4%,3.4%,3.4%,1.2%,2.0%,2.0%,#DIV/0!,2.0%,1.8%,2.0%,1.2%,2.0%,1.2%,1.8%,1.8%,1.2%,3.4%,3.4%,1.2%,1.2%,1.2%,2.0%,3.4%,1.8%,1.3%,3.4%,1.3%,1.8%,2.0%,1.8%,3.4%,1.8%,3.4%,3.4%,3.4%,#DIV/0!,1.8%,3.4%,1.2%,1.2%,1.2%,3.4%,1.3%,3.4%,2.0%,1.2%,3.4%,1.8%,1.2%,1.8%,3.4%,3.4%,#DIV/0!,3.4%,3.4%,1.8%,3.4%,#DIV/0!,3.4%,3.4%,2.0%,1.2%,1.2%,1.8%,1.8%,1.2%,3.4%,1.8%,2.0%,2.0%,1.8%,1.8%,1.8%,1.2%,2.0%,#DIV/0!,1.2%,2.0%,3.4%,3.4%,#DIV/0!,1.2%,1.3%,3.4%,3.4%,3.4%,3.4%,1.8%,3.4%,2.0%,1.2%,#DIV/0!,1.2%,3.4%,3.4%,2.0%,1.2%,1.2%,1.2%,#DIV/0!,3.4%,3.4%,1.8%,1.3%,1.3%,1.8%,1.8%,2.0%,3.4%,1.2%,1.8%,#DIV/0!,3.4%,3.4%,1.3%,2.0%,1.2%,1.3%,2.0%,1.8%,1.8%,1.8%,3.4%,3.4%,3.4%,3.4%
2060,1.7%,3.4%,1.2%,#DIV/0!,3.4%,1.9%,1.2%,1.9%,1.2%,1.2%,1.2%,3.4%,1.2%,3.4%,3.4%,1.7%,1.2%,3.4%,1.9%,1.2%,1.2%,1.9%,1.9%,1.9%,1.9%,1.9%,1.7%,1.7%,3.4%,3.4%,1.2%,1.2%,1.9%,1.7%,3.4%,3.4%,3.4%,3.4%,1.9%,3.4%,3.4%,1.9%,#DIV/0!,1.2%,1.2%,1.2%,3.4%,1.9%,1.2%,1.9%,3.4%,1.9%,3.4%,3.4%,#DIV/0!,1.2%,1.2%,3.4%,1.2%,1.7%,1.2%,1.7%,3.4%,1.2%,1.2%,3.4%,3.4%,#DIV/0!,3.4%,3.4%,3.4%,1.2%,1.9%,1.9%,#DIV/0!,1.9%,1.7%,1.9%,1.2%,1.9%,1.2%,1.7%,1.7%,1.2%,3.4%,3.4%,1.2%,1.2%,1.2%,1.9%,3.4%,1.7%,1.2%,3.4%,1.2%,1.7%,1.9%,1.7%,3.4%,1.7%,3.4%,3.4%,3.4%,#DIV/0!,1.7%,3.4%,1.2%,1.2%,1.2%,3.4%,1.2%,3.4%,1.9%,1.2%,3.4%,1.7%,1.2%,1.7%,3.4%,3.4%,#DIV/0!,3.4%,3.4%,1.7%,3.4%,#DIV/0!,3.4%,3.4%,1.9%,1.2%,1.2%,1.7%,1.7%,1.2%,3.4%,1.7%,1.9%,1.9%,1.7%,1.7%,1.7%,1.2%,1.9%,#DIV/0!,1.2%,1.9%,3.4%,3.4%,#DIV/0!,1.2%,1.2%,3.4%,3.4%,3.4%,3.4%,1.7%,3.4%,1.9%,1.2%,#DIV/0!,1.2%,3.4%,3.4%,1.9%,1.2%,1.2%,1.2%,#DIV/0!,3.4%,3.4%,1.7%,1.2%,1.2%,1.7%,1.7%,1.9%,3.4%,1.2%,1.7%,#DIV/0!,3.4%,3.4%,1.2%,1.9%,1.2%,1.2%,1.9%,1.7%,1.7%,1.7%,3.4%,3.4%,3.4%,3.4%
2061,1.8%,4.1%,1.2%,#DIV/0!,4.1%,2.1%,1.5%,2.1%,1.2%,1.2%,1.5%,4.1%,1.2%,4.1%,4.1%,1.8%,1.2%,4.1%,2.1%,1.2%,1.5%,2.1%,2.1%,2.1%,2.1%,2.1%,1.8%,1.8%,4.1%,4.1%,1.2%,1.2%,2.1%,1.8%,4.1%,4.1%,4.1%,4.1%,2.1%,4.1%,4.1%,2.1%,#DIV/0!,1.2%,1.2%,1.2%,4.1%,2.1%,1.2%,2.1%,4.1%,2.1%,4.1%,4.1%,#DIV/0!,1.2%,1.2%,4.1%,1.2%,1.8%,1.2%,1.8%,4.1%,1.2%,1.5%,4.1%,4.1%,#DIV/0!,4.1%,4.1%,4.1%,1.2%,2.1%,2.1%,#DIV/0!,2.1%,1.8%,2.1%,1.2%,2.1%,1.2%,1.8%,1.8%,1.2%,4.1%,4.1%,1.2%,1.2%,1.2%,2.1%,4.1%,1.8%,1.5%,4.1%,1.5%,1.8%,2.1%,1.8%,4.1%,1.8%,4.1%,4.1%,4.1%,#DIV/0!,1.8%,4.1%,1.2%,1.2%,1.2%,4.1%,1.5%,4.1%,2.1%,1.2%,4.1%,1.8%,1.2%,1.8%,4.1%,4.1%,#DIV/0!,4.1%,4.1%,1.8%,4.1%,#DIV/0!,4.1%,4.1%,2.1%,1.2%,1.2%,1.8%,1.8%,1.2%,4.1%,1.8%,2.1%,2.1%,1.8%,1.8%,1.8%,1.2%,2.1%,#DIV/0!,1.2%,2.1%,4.1%,4.1%,#DIV/0!,1.2%,1.5%,4.1%,4.1%,4.1%,4.1%,1.8%,4.1%,2.1%,1.2%,#DIV/0!,1.2%,4.1%,4.1%,2.1%,1.2%,1.2%,1.2%,#DIV/0!,4.1%,4.1%,1.8%,1.5%,1.5%,1.8%,1.8%,2.1%,4.1%,1.2%,1.8%,#DIV/0!,4.1%,4.1%,1.5%,2.1%,1.2%,1.5%,2.1%,1.8%,1.8%,1.8%,4.1%,4.1%,4.1%,4.1%
2062,1.7%,4.0%,1.2%,#DIV/0!,4.0%,2.0%,1.4%,2.0%,1.2%,1.2%,1.4%,4.0%,1.2%,4.0%,4.0%,1.7%,1.2%,4.0%,2.0%,1.2%,1.4%,2.0%,2.0%,2.0%,2.0%,2.0%,1.7%,1.7%,4.0%,4.0%,1.2%,1.2%,2.0%,1.7%,4.0%,4.0%,4.0%,4.0%,2.0%,4.0%,4.0%,2.0%,#DIV/0!,1.2%,1.2%,1.2%,4.0%,2.0%,1.2%,2.0%,4.0%,2.0%,4.0%,4.0%,#DIV/0!,1.2%,1.2%,4.0%,1.2%,1.7%,1.2%,1.7%,4.0%,1.2%,1.4%,4.0%,4.0%,#DIV/0!,4.0%,4.0%,4.0%,1.2%,2.0%,2.0%,#DIV/0!,2.0%,1.7%,2.0%,1.2%,2.0%,1.2%,1.7%,1.7%,1.2%,4.0%,4.0%,1.2%,1.2%,1.2%,2.0%,4.0%,1.7%,1.4%,4.0%,1.4%,1.7%,2.0%,1.7%,4.0%,1.7%,4.0%,4.0%,4.0%,#DIV/0!,1.7%,4.0%,1.2%,1.2%,1.2%,4.0%,1.4%,4.0%,2.0%,1.2%,4.0%,1.7%,1.2%,1.7%,4.0%,4.0%,#DIV/0!,4.0%,4.0%,1.7%,4.0%,#DIV/0!,4.0%,4.0%,2.0%,1.2%,1.2%,1.7%,1.7%,1.2%,4.0%,1.7%,2.0%,2.0%,1.7%,1.7%,1.7%,1.2%,2.0%,#DIV/0!,1.2%,2.0%,4.0%,4.0%,#DIV/0!,1.2%,1.4%,4.0%,4.0%,4.0%,4.0%,1.7%,4.0%,2.0%,1.2%,#DIV/0!,1.2%,4.0%,4.0%,2.0%,1.2%,1.2%,1.2%,#DIV/0!,4.0%,4.0%,1.7%,1.4%,1.4%,1.7%,1.7%,2.0%,4.0%,1.2%,1.7%,#DIV/0!,4.0%,4.0%,1.4%,2.0%,1.2%,1.4%,2.0%,1.7%,1.7%,1.7%,4.0%,4.0%,4.0%,4.0%
2063,1.7%,3.9%,1.2%,#DIV/0!,3.9%,2.0%,1.4%,2.0%,1.2%,1.2%,1.4%,3.9%,1.2%,3.9%,3.9%,1.7%,1.2%,3.9%,2.0%,1.2%,1.4%,2.0%,2.0%,2.0%,2.0%,2.0%,1.7%,1.7%,3.9%,3.9%,1.2%,1.2%,2.0%,1.7%,3.9%,3.9%,3.9%,3.9%,2.0%,3.9%,3.9%,2.0%,#DIV/0!,1.2%,1.2%,1.2%,3.9%,2.0%,1.2%,2.0%,3.9%,2.0%,3.9%,3.9%,#DIV/0!,1.2%,1.2%,3.9%,1.2%,1.7%,1.2%,1.7%,3.9%,1.2%,1.4%,3.9%,3.9%,#DIV/0!,3.9%,3.9%,3.9%,1.2%,2.0%,2.0%,#DIV/0!,2.0%,1.7%,2.0%,1.2%,2.0%,1.2%,1.7%,1.7%,1.2%,3.9%,3.9%,1.2%,1.2%,1.2%,2.0%,3.9%,1.7%,1.4%,3.9%,1.4%,1.7%,2.0%,1.7%,3.9%,1.7%,3.9%,3.9%,3.9%,#DIV/0!,1.7%,3.9%,1.2%,1.2%,1.2%,3.9%,1.4%,3.9%,2.0%,1.2%,3.9%,1.7%,1.2%,1.7%,3.9%,3.9%,#DIV/0!,3.9%,3.9%,1.7%,3.9%,#DIV/0!,3.9%,3.9%,2.0%,1.2%,1.2%,1.7%,1.7%,1.2%,3.9%,1.7%,2.0%,2.0%,1.7%,1.7%,1.7%,1.2%,2.0%,#DIV/0!,1.2%,2.0%,3.9%,3.9%,#DIV/0!,1.2%,1.4%,3.9%,3.9%,3.9%,3.9%,1.7%,3.9%,2.0%,1.2%,#DIV/0!,1.2%,3.9%,3.9%,2.0%,1.2%,1.2%,1.2%,#DIV/0!,3.9%,3.9%,1.7%,1.4%,1.4%,1.7%,1.7%,2.0%,3.9%,1.2%,1.7%,#DIV/0!,3.9%,3.9%,1.4%,2.0%,1.2%,1.4%,2.0%,1.7%,1.7%,1.7%,3.9%,3.9%,3.9%,3.9%
2064,1.7%,3.8%,1.2%,#DIV/0!,3.8%,1.9%,1.4%,1.9%,1.2%,1.2%,1.4%,3.8%,1.2%,3.8%,3.8%,1.7%,1.2%,3.8%,1.9%,1.2%,1.4%,1.9%,1.9%,1.9%,1.9%,1.9%,1.7%,1.7%,3.8%,3.8%,1.2%,1.2%,1.9%,1.7%,3.8%,3.8%,3.8%,3.8%,1.9%,3.8%,3.8%,1.9%,#DIV/0!,1.2%,1.2%,1.2%,3.8%,1.9%,1.2%,1.9%,3.8%,1.9%,3.8%,3.8%,#DIV/0!,1.2%,1.2%,3.8%,1.2%,1.7%,1.2%,1.7%,3.8%,1.2%,1.4%,3.8%,3.8%,#DIV/0!,3.8%,3.8%,3.8%,1.2%,1.9%,1.9%,#DIV/0!,1.9%,1.7%,1.9%,1.2%,1.9%,1.2%,1.7%,1.7%,1.2%,3.8%,3.8%,1.2%,1.2%,1.2%,1.9%,3.8%,1.7%,1.4%,3.8%,1.4%,1.7%,1.9%,1.7%,3.8%,1.7%,3.8%,3.8%,3.8%,#DIV/0!,1.7%,3.8%,1.2%,1.2%,1.2%,3.8%,1.4%,3.8%,1.9%,1.2%,3.8%,1.7%,1.2%,1.7%,3.8%,3.8%,#DIV/0!,3.8%,3.8%,1.7%,3.8%,#DIV/0!,3.8%,3.8%,1.9%,1.2%,1.2%,1.7%,1.7%,1.2%,3.8%,1.7%,1.9%,1.9%,1.7%,1.7%,1.7%,1.2%,1.9%,#DIV/0!,1.2%,1.9%,3.8%,3.8%,#DIV/0!,1.2%,1.4%,3.8%,3.8%,3.8%,3.8%,1.7%,3.8%,1.9%,1.2%,#DIV/0!,1.2%,3.8%,3.8%,1.9%,1.2%,1.2%,1.2%,#DIV/0!,3.8%,3.8%,1.7%,1.4%,1.4%,1.7%,1.7%,1.9%,3.8%,1.2%,1.7%,#DIV/0!,3.8%,3.8%,1.4%,1.9%,1.2%,1.4%,1.9%,1.7%,1.7%,1.7%,3.8%,3.8%,3.8%,3.8%
2065,1.6%,3.7%,1.2%,#DIV/0!,3.7%,1.9%,1.4%,1.9%,1.2%,1.2%,1.4%,3.7%,1.2%,3.7%,3.7%,1.6%,1.2%,3.7%,1.9%,1.2%,1.4%,1.9%,1.9%,1.9%,1.9%,1.9%,1.6%,1.6%,3.7%,3.7%,1.2%,1.2%,1.9%,1.6%,3.7%,3.7%,3.7%,3.7%,1.9%,3.7%,3.7%,1.9%,#DIV/0!,1.2%,1.2%,1.2%,3.7%,1.9%,1.2%,1.9%,3.7%,1.9%,3.7%,3.7%,#DIV/0!,1.2%,1.2%,3.7%,1.2%,1.6%,1.2%,1.6%,3.7%,1.2%,1.4%,3.7%,3.7%,#DIV/0!,3.7%,3.7%,3.7%,1.2%,1.9%,1.9%,#DIV/0!,1.9%,1.6%,1.9%,1.2%,1.9%,1.2%,1.6%,1.6%,1.2%,3.7%,3.7%,1.2%,1.2%,1.2%,1.9%,3.7%,1.6%,1.4%,3.7%,1.4%,1.6%,1.9%,1.6%,3.7%,1.6%,3.7%,3.7%,3.7%,#DIV/0!,1.6%,3.7%,1.2%,1.2%,1.2%,3.7%,1.4%,3.7%,1.9%,1.2%,3.7%,1.6%,1.2%,1.6%,3.7%,3.7%,#DIV/0!,3.7%,3.7%,1.6%,3.7%,#DIV/0!,3.7%,3.7%,1.9%,1.2%,1.2%,1.6%,1.6%,1.2%,3.7%,1.6%,1.9%,1.9%,1.6%,1.6%,1.6%,1.2%,1.9%,#DIV/0!,1.2%,1.9%,3.7%,3.7%,#DIV/0!,1.2%,1.4%,3.7%,3.7%,3.7%,3.7%,1.6%,3.7%,1.9%,1.2%,#DIV/0!,1.2%,3.7%,3.7%,1.9%,1.2%,1.2%,1.2%,#DIV/0!,3.7%,3.7%,1.6%,1.4%,1.4%,1.6%,1.6%,1.9%,3.7%,1.2%,1.6%,#DIV/0!,3.7%,3.7%,1.4%,1.9%,1.2%,1.4%,1.9%,1.6%,1.6%,1.6%,3.7%,3.7%,3.7%,3.7%
2066,1.6%,3.6%,1.2%,#DIV/0!,3.6%,1.9%,1.3%,1.9%,1.2%,1.2%,1.3%,3.6%,1.2%,3.6%,3.6%,1.6%,1.2%,3.6%,1.9%,1.2%,1.3%,1.9%,1.9%,1.9%,1.9%,1.9%,1.6%,1.6%,3.6%,3.6%,1.2%,1.2%,1.9%,1.6%,3.6%,3.6%,3.6%,3.6%,1.9%,3.6%,3.6%,1.9%,#DIV/0!,1.2%,1.2%,1.2%,3.6%,1.9%,1.2%,1.9%,3.6%,1.9%,3.6%,3.6%,#DIV/0!,1.2%,1.2%,3.6%,1.2%,1.6%,1.2%,1.6%,3.6%,1.2%,1.3%,3.6%,3.6%,#DIV/0!,3.6%,3.6%,3.6%,1.2%,1.9%,1.9%,#DIV/0!,1.9%,1.6%,1.9%,1.2%,1.9%,1.2%,1.6%,1.6%,1.2%,3.6%,3.6%,1.2%,1.2%,1.2%,1.9%,3.6%,1.6%,1.3%,3.6%,1.3%,1.6%,1.9%,1.6%,3.6%,1.6%,3.6%,3.6%,3.6%,#DIV/0!,1.6%,3.6%,1.2%,1.2%,1.2%,3.6%,1.3%,3.6%,1.9%,1.2%,3.6%,1.6%,1.2%,1.6%,3.6%,3.6%,#DIV/0!,3.6%,3.6%,1.6%,3.6%,#DIV/0!,3.6%,3.6%,1.9%,1.2%,1.2%,1.6%,1.6%,1.2%,3.6%,1.6%,1.9%,1.9%,1.6%,1.6%,1.6%,1.2%,1.9%,#DIV/0!,1.2%,1.9%,3.6%,3.6%,#DIV/0!,1.2%,1.3%,3.6%,3.6%,3.6%,3.6%,1.6%,3.6%,1.9%,1.2%,#DIV/0!,1.2%,3.6%,3.6%,1.9%,1.2%,1.2%,1.2%,#DIV/0!,3.6%,3.6%,1.6%,1.3%,1.3%,1.6%,1.6%,1.9%,3.6%,1.2%,1.6%,#DIV/0!,3.6%,3.6%,1.3%,1.9%,1.2%,1.3%,1.9%,1.6%,1.6%,1.6%,3.6%,3.6%,3.6%,3.6%
2067,1.6%,3.5%,1.2%,#DIV/0!,3.5%,1.8%,1.3%,1.8%,1.2%,1.2%,1.3%,3.5%,1.2%,3.5%,3.5%,1.6%,1.2%,3.5%,1.8%,1.2%,1.3%,1.8%,1.8%,1.8%,1.8%,1.8%,1.6%,1.6%,3.5%,3.5%,1.2%,1.2%,1.8%,1.6%,3.5%,3.5%,3.5%,3.5%,1.8%,3.5%,3.5%,1.8%,#DIV/0!,1.2%,1.2%,1.2%,3.5%,1.8%,1.2%,1.8%,3.5%,1.8%,3.5%,3.5%,#DIV/0!,1.2%,1.2%,3.5%,1.2%,1.6%,1.2%,1.6%,3.5%,1.2%,1.3%,3.5%,3.5%,#DIV/0!,3.5%,3.5%,3.5%,1.2%,1.8%,1.8%,#DIV/0!,1.8%,1.6%,1.8%,1.2%,1.8%,1.2%,1.6%,1.6%,1.2%,3.5%,3.5%,1.2%,1.2%,1.2%,1.8%,3.5%,1.6%,1.3%,3.5%,1.3%,1.6%,1.8%,1.6%,3.5%,1.6%,3.5%,3.5%,3.5%,#DIV/0!,1.6%,3.5%,1.2%,1.2%,1.2%,3.5%,1.3%,3.5%,1.8%,1.2%,3.5%,1.6%,1.2%,1.6%,3.5%,3.5%,#DIV/0!,3.5%,3.5%,1.6%,3.5%,#DIV/0!,3.5%,3.5%,1.8%,1.2%,1.2%,1.6%,1.6%,1.2%,3.5%,1.6%,1.8%,1.8%,1.6%,1.6%,1.6%,1.2%,1.8%,#DIV/0!,1.2%,1.8%,3.5%,3.5%,#DIV/0!,1.2%,1.3%,3.5%,3.5%,3.5%,3.5%,1.6%,3.5%,1.8%,1.2%,#DIV/0!,1.2%,3.5%,3.5%,1.8%,1.2%,1.2%,1.2%,#DIV/0!,3.5%,3.5%,1.6%,1.3%,1.3%,1.6%,1.6%,1.8%,3.5%,1.2%,1.6%,#DIV/0!,3.5%,3.5%,1.3%,1.8%,1.2%,1.3%,1.8%,1.6%,1.6%,1.6%,3.5%,3.5%,3.5%,3.5%
